Category:Keywords;
Haaga-helia:haaga-helia ammattikorkeakoulu;
Huvittelu:finnkino kinopa;
Jäsenmaksukulut:helsinki hacklab;
Kateisnostokulut:atmotto/otto;
Matkustelukulut:vr;
Omathuvit:jukka tapani juslin;
Omattulot:juslin jukka tapani;
Pankkipalvelut:nordea bank oyj;
Pienrautakulut:motonet oy,k-rauta,puuilo;
Polttoainekulut:teboil,neste;
Puhelinkulut:dna oyj;
Ravintolakulut:hesburger,ravintola huhkajalampi,zettle_*ravintola huhk;
Ruokakauppakulut:k-supermarket,alepa,s-market,prisma,lidl;
Vakuutuskulut:keskinäinen vakuutusyhtiö turv;
Vuokrakulut:juslin jukka tai shakirova ina;
